LATITUDE,LONGITUDE,CRASH DATE,CRASH TIME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,CONTRIBUTING FACTOR VEHICLE 1,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,BOROUGH,SEVERITY
40.754707,-73.99164,03/26/2022,2:10,1,0,Failure to Yield Right-of-Way,WEST 38 STREET,8 AVENUE,,MANHATTAN,1
40.85713,-73.8808,03/25/2022,0:00,0,0,Driver Inattention/Distraction,EAST FORDHAM ROAD,SOUTHERN BOULEVARD,,BRONX,0
40.857418,-73.89996,03/26/2022,4:00,0,0,Unsafe Speed,GRAND CONCOURSE,EAST 183 STREET,,BRONX,0
40.702972,-73.888054,03/26/2022,4:34,0,0,Unsafe Speed,CENTRAL AVENUE,66 PLACE,,QUEENS,0
40.786366,-73.97598,9/3/2022,11:56,1,0,Failure to Yield Right-of-Way,WEST 84 STREET,,,,1
40.624474,-74.00668,03/26/2022,14:41,0,0,Passing or Lane Usage Improper,70 STREET,12 AVENUE,,BROOKLYN,0
40.76532,-73.771904,03/26/2022,18:00,0,0,Unspecified,39 AVENUE,BELL BOULEVARD,,QUEENS,0
40.597683,-73.96686,03/26/2022,13:30,0,0,Driver Inattention/Distraction,AVENUE U,,,,0
40.609768,-74.06969,03/26/2022,13:20,1,0,Traffic Control Disregarded,SAINT JOHNS AVENUE,TOMPKINS AVENUE,,STATEN ISLAND,1
40.798286,-73.938705,03/25/2022,21:35,0,0,Following Too Closely,,,231       EAST 117 STREET,MANHATTAN,0
40.776764,-73.848015,03/23/2022,21:00,0,0,Unspecified,,,25-03     120 STREET,QUEENS,0
40.747498,-73.91309,03/26/2022,12:00,0,0,Unspecified,,,39-34     51 STREET,QUEENS,0
40.701637,-73.942276,03/26/2022,13:28,1,0,Following Too Closely,GRAHAM AVENUE,DEBEVOISE STREET,,BROOKLYN,1
40.69349,-73.826546,03/26/2022,19:12,0,0,Unsafe Speed,,,94-39     120 STREET,QUEENS,0
40.726463,-73.85943,03/26/2022,21:29,1,0,Unsafe Speed,WETHEROLE STREET,65 ROAD,,QUEENS,1
40.856434,-73.886826,03/25/2022,13:21,1,0,Driver Inattention/Distraction,EAST 188 STREET,ARTHUR AVENUE,,BRONX,1
40.87151,-73.87057,03/22/2022,8:20,1,0,Turning Improperly,BURKE AVENUE,BRONX PARK EAST,,BRONX,1
40.68686,-73.96758,03/26/2022,22:30,0,0,Passing or Lane Usage Improper,,,386       CLINTON AVENUE,BROOKLYN,0
40.624763,-73.96518,03/26/2022,11:20,1,0,Alcohol Involvement,CONEY ISLAND AVENUE,,,,1
40.678417,-73.729225,03/26/2022,18:17,0,0,Passing or Lane Usage Improper,130 AVENUE,BROOKVILLE BOULEVARD,,QUEENS,0
40.692596,-73.79078,03/14/2022,10:30,0,0,Unspecified,,,160-18    110 AVENUE,QUEENS,0
40.734486,-73.891754,03/26/2022,1:30,0,0,Driver Inattention/Distraction,CALAMUS AVENUE,72 STREET,,,0
40.88399,-73.82641,03/26/2022,3:23,1,0,Following Too Closely,,,2291      NEW ENGLAND THRUWAY,BRONX,1
40.683872,-73.95998,03/26/2022,1:45,0,0,Driver Inattention/Distraction,,,41        IRVING PLACE,BROOKLYN,0
40.799484,-73.92929,5/3/2022,14:52,0,0,Unspecified,,,30        PALADINO AVENUE,MANHATTAN,0
40.70839,-74.00482,03/26/2022,20:27,0,0,Passing or Lane Usage Improper,FULTON STREET,,,,0
40.766502,-73.99418,03/26/2022,18:19,0,0,Unspecified,WEST 51 STREET,11 AVENUE,,MANHATTAN,0
40.676304,-73.816284,03/26/2022,23:00,0,0,Alcohol Involvement,,,115-36    122 STREET,QUEENS,0
40.66447,-73.89593,03/26/2022,18:00,0,0,Unsafe Speed,GEORGIA AVENUE,LIVONIA AVENUE,,BROOKLYN,0
40.709835,-74.014885,03/23/2022,20:40,0,0,Unsafe Speed,WEST STREET,,,,0
40.585342,-73.94157,04/24/2022,11:45,0,0,Driver Inattention/Distraction,BELT PARKWAY,,,,0
40.746395,-73.9856,11/9/2021,12:01,0,0,Passing or Lane Usage Improper,,,3         EAST 31 STREET,MANHATTAN,0
40.617004,-73.96912,10/9/2021,11:00,0,0,Unspecified,OCEAN PARKWAY,AVENUE M,,BROOKLYN,0
40.718662,-74.00615,11/9/2021,20:15,0,0,Unspecified,,,116       FRANKLIN STREET,MANHATTAN,0
40.680664,-73.97028,9/9/2021,8:15,0,0,Backing Unsafely,,,590       DEAN STREET,BROOKLYN,0
40.67392,-73.91012,10/12/2021,23:07,0,0,Unspecified,BERGEN STREET,EASTERN PARKWAY,,BROOKLYN,0
40.806835,-73.924355,10/12/2021,21:50,0,0,Other Vehicular,MAJOR DEEGAN EXPRESSWAY,,,,0
40.627735,-73.920105,11/27/2021,5:40,0,0,Unspecified,,,1100      EAST 58 STREET,BROOKLYN,0
0.0,0.0,9/12/2021,5:15,1,0,Traffic Control Disregarded,ROCKAWAY BOULEVARD,VANWYCK EXPRESSWAY,,,1
40.661263,-73.955765,8/12/2021,12:58,0,0,Unspecified,,,203       LINCOLN ROAD,BROOKLYN,0
40.844883,-73.907295,8/12/2021,17:50,0,0,Following Too Closely,CROSS BRONX EXPY,,,,0
40.76104,-73.88162,10/12/2021,4:30,0,0,Driver Inattention/Distraction,,,30-27     87 STREET,QUEENS,0
40.669777,-73.9583,10/12/2021,21:22,1,0,Failure to Yield Right-of-Way,FRANKLIN AVENUE,,,,1
40.839443,-73.90436,10/12/2021,8:30,0,0,Unsafe Lane Changing,,,425       CLAREMONT PARKWAY,BRONX,0
40.75245,-73.94507,10/12/2021,12:15,0,0,Driver Inattention/Distraction,13 STREET,QUEENS PLAZA SOUTH,,QUEENS,0
40.687748,-73.980125,8/12/2021,14:38,0,0,Passing Too Closely,,,25        FLATBUSH AVENUE,BROOKLYN,0
40.87356,-73.81853,3/12/2021,13:40,0,0,Unspecified,HUTCHINSON RIVER PARKWAY,,,,0
40.8176,-73.90373,10/12/2021,8:50,1,0,Other Vehicular,,,800       EAST 156 STREET,BRONX,1
40.638428,-73.91275,9/12/2021,19:45,0,0,Unspecified,GLENWOOD ROAD,EAST 83 STREET,,BROOKLYN,0
40.813885,-73.95211,10/12/2021,16:07,0,0,Unspecified,,,416       WEST 129 STREET,MANHATTAN,0
40.77733,-73.95456,10/12/2021,21:20,0,0,Unsafe Speed,,,204       EAST 84 STREET,MANHATTAN,0
40.713135,-74.00407,10/12/2021,23:16,0,0,Failure to Yield Right-of-Way,CHAMBERS STREET,,,,0
40.775486,-73.98217,9/12/2021,17:21,2,0,Driver Inattention/Distraction,BROADWAY,,,,2
40.591137,-73.97752,9/12/2021,7:30,0,0,Unspecified,BOYNTON PLACE,WEST 7 STREET,,BROOKLYN,0
40.865536,-73.92728,11/24/2021,23:58,1,0,Pedestrian/Bicyclist/Other Pedestrian Error/Confusion,BROADWAY,,,,1
40.76551,-73.97795,9/12/2021,17:00,1,0,Following Too Closely,,,140       WEST 58 STREET,MANHATTAN,1
40.63311,-73.97217,8/12/2021,8:15,0,0,Unspecified,OCEAN PARKWAY,18 AVENUE,,BROOKLYN,0
40.823772,-73.87245,11/9/2021,2:20,1,0,Alcohol Involvement,BRONX RIVER PARKWAY,,,,1
40.84497,-73.90247,9/7/2021,12:00,0,0,Passing Too Closely,ITTNER PLACE,,,,0
40.675507,-74.00075,10/9/2021,14:50,0,0,Unspecified,BROOKLYN QUEENS EXPRESSWAY,,,,0
40.609535,-73.75372,1/7/2021,17:45,0,0,Passing or Lane Usage Improper,BEACH CHANNEL DRIVE,HORTON AVENUE,,QUEENS,0
40.730446,-74.00431,7/7/2021,13:45,0,0,Driver Inexperience,LEROY STREET,BEDFORD STREET,,MANHATTAN,0
40.721645,-73.8026,11/9/2021,12:00,0,0,Unspecified,,,80-25     165 STREET,QUEENS,0
